sales_person,country,product,date,boxes_shipped,amount,currency,mid_rate,total_amount_th
Dotty Strutley,UK,Almond Choco,2022-07-28,96,16114.0,GBP,42.0265,677215.021
Marney O'Breen,New Zealand,After Nines,2022-03-09,44,1561.0,AUD,21.2763,33212.304299999996
Husein Augar,Australia,Orange Choco,2022-06-28,188,8897.0,AUD,21.2763,189295.24109999998
Marney O'Breen,Australia,Milk Bars,2022-07-28,387,2464.0,AUD,21.2763,52424.803199999995
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,50,4830.0,CAD,22.5593,108961.41900000001
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,264,2765.0,AUD,21.2763,58828.9695
Beverie Moffet,New Zealand,White Choc,2022-03-24,7,7126.0,AUD,21.2763,151614.91379999998
Van Tuxwell,UK,Milk Bars,2022-07-25,90,4263.0,GBP,42.0265,179158.9695
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,403,3605.0,CAD,22.5593,81326.2765
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,174,19929.0,INR,0.3442,6859.5618
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,140,5103.0,INR,0.3442,1756.4526
Jan Morforth,India,Eclairs,2022-01-05,27,2541.0,INR,0.3442,874.6122
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,110,5663.0,GBP,42.0265,237996.06949999998
Wilone O'Kielt,USA,After Nines,2022-04-25,30,392.0,USD,31.1547,12212.642399999999
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,121,10976.0,AUD,21.2763,233528.66879999998
Barr Faughny,USA,Raspberry Choco,2022-04-12,101,9282.0,USD,31.1547,289177.9254
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,117,1827.0,AUD,21.2763,38871.8001
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,272,8267.0,AUD,21.2763,175891.1721
Ches Bonnell,Australia,Eclairs,2022-07-05,128,4116.0,AUD,21.2763,87573.2508
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,45,2093.0,AUD,21.2763,44531.2959
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,27,1015.0,AUD,21.2763,21595.444499999998
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,212,12516.0,AUD,21.2763,266294.17079999996
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,18,2758.0,AUD,21.2763,58680.0354
Kelci Walkden,India,Almond Choco,2022-03-14,149,3297.0,INR,0.3442,1134.8274000000001
Camilla Castle,Australia,70% Dark Bites,2022-04-29,477,6048.0,AUD,21.2763,128679.0624
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,108,10101.0,INR,0.3442,3476.7642
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,178,2282.0,GBP,42.0265,95904.473
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,81,4361.0,INR,0.3442,1501.0562
Karlen McCaffrey,UK,Eclairs,2022-01-25,196,7798.0,GBP,42.0265,327722.647
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,447,3052.0,INR,0.3442,1050.4984
Gigi Bohling,UK,After Nines,2022-03-29,175,8029.0,GBP,42.0265,337430.7685
Curtice Advani,Australia,Orange Choco,2022-07-12,136,854.0,AUD,21.2763,18169.960199999998
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,138,5460.0,CAD,22.5593,123173.778
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,184,3017.0,CAD,22.5593,68061.4081
Andria Kimpton,USA,85% Dark Bars,2022-04-05,82,8911.0,USD,31.1547,277619.5317
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,12,7203.0,CAD,22.5593,162494.6379
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,14,13083.0,AUD,21.2763,278357.8329
Mallorie Waber,Australia,Milk Bars,2022-07-29,104,2779.0,AUD,21.2763,59126.8377
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,46,9058.0,USD,31.1547,282199.27259999997
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,112,3549.0,GBP,42.0265,149152.0485
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,11,9436.0,AUD,21.2763,200763.16679999998
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,21,10283.0,INR,0.3442,3539.4086
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,116,5446.0,AUD,21.2763,115870.7298
Ches Bonnell,Australia,White Choc,2022-03-02,202,1043.0,AUD,21.2763,22191.1809
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,6,12586.0,USD,31.1547,392113.05419999996
Kelci Walkden,India,After Nines,2022-01-07,520,1687.0,INR,0.3442,580.6654
Brien Boise,UK,White Choc,2022-04-12,167,5299.0,GBP,42.0265,222698.4235
Van Tuxwell,Canada,Almond Choco,2022-06-27,72,3213.0,CAD,22.5593,72483.0309
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,418,5194.0,AUD,21.2763,110509.1022
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,389,4753.0,GBP,42.0265,199751.9545
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,26,13706.0,AUD,21.2763,291612.9678
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,146,6489.0,INR,0.3442,2233.5138
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,41,9324.0,GBP,42.0265,391855.086
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,54,10829.0,USD,31.1547,337374.2463
Barr Faughny,Australia,White Choc,2022-07-04,370,8113.0,AUD,21.2763,172614.6219
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,176,3269.0,CAD,22.5593,73746.3517
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,210,273.0,USD,31.1547,8505.2331
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,12,7287.0,AUD,21.2763,155040.3981
Gigi Bohling,India,Raspberry Choco,2022-02-22,159,2583.0,INR,0.3442,889.0686000000001
Camilla Castle,UK,White Choc,2022-01-03,187,9982.0,GBP,42.0265,419508.523
Karlen McCaffrey,India,Drinking Coco,2022-05-31,233,4795.0,INR,0.3442,1650.439
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,282,9310.0,GBP,42.0265,391266.71499999997
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,475,497.0,AUD,21.2763,10574.3211
Barr Faughny,UK,50% Dark Bites,2022-01-28,65,581.0,GBP,42.0265,24417.3965
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,311,3472.0,AUD,21.2763,73871.3136
Husein Augar,UK,Choco Coated Almonds,2022-03-02,43,4333.0,GBP,42.0265,182100.8245
Wilone O'Kielt,Australia,After Nines,2022-05-27,26,3325.0,AUD,21.2763,70743.6975
Dennison Crosswaite,USA,Almond Choco,2022-06-30,84,11718.0,USD,31.1547,365070.7746
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,78,2100.0,CAD,22.5593,47374.53
Kaine Padly,USA,70% Dark Bites,2022-05-12,100,4018.0,USD,31.1547,125179.58459999999
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,66,6468.0,AUD,21.2763,137615.1084
Dennison Crosswaite,UK,White Choc,2022-08-03,265,7238.0,GBP,42.0265,304187.807
Barr Faughny,India,Baker's Choco Chips,2022-08-18,141,6454.0,INR,0.3442,2221.4668
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,42,3115.0,AUD,21.2763,66275.6745
Beverie Moffet,UK,White Choc,2022-06-30,76,6475.0,GBP,42.0265,272121.58749999997
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,190,1162.0,AUD,21.2763,24723.0606
Ches Bonnell,UK,Orange Choco,2022-04-27,54,14238.0,GBP,42.0265,598373.307
Jan Morforth,Australia,White Choc,2022-07-27,32,3472.0,AUD,21.2763,73871.3136
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,424,1428.0,CAD,22.5593,32214.6804
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,134,8064.0,INR,0.3442,2775.6288
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,92,9660.0,AUD,21.2763,205529.058
Karlen McCaffrey,Australia,White Choc,2022-01-05,48,7357.0,AUD,21.2763,156529.7391
Beverie Moffet,India,Drinking Coco,2022-07-15,46,6055.0,INR,0.3442,2084.131
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,62,5124.0,AUD,21.2763,109019.7612
Karlen McCaffrey,Canada,Eclairs,2022-04-20,358,3479.0,CAD,22.5593,78483.80470000001
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,249,784.0,USD,31.1547,24425.284799999998
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,88,18991.0,GBP,42.0265,798125.2615
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,144,1372.0,AUD,21.2763,29191.083599999998
Beverie Moffet,Australia,Milk Bars,2022-05-25,390,735.0,AUD,21.2763,15638.0805
Van Tuxwell,UK,Raspberry Choco,2022-03-16,79,6538.0,GBP,42.0265,274769.257
Jan Morforth,Australia,Orange Choco,2022-07-04,122,3199.0,AUD,21.2763,68062.88369999999
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,135,3472.0,INR,0.3442,1195.0624
Madelene Upcott,USA,After Nines,2022-03-15,430,4571.0,USD,31.1547,142408.1337
Barr Faughny,UK,Raspberry Choco,2022-08-22,69,5481.0,GBP,42.0265,230347.24649999998
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,125,3136.0,AUD,21.2763,66722.4768
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,154,252.0,GBP,42.0265,10590.678
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,286,5460.0,AUD,21.2763,116168.598
Rafaelita Blaksland,India,Almond Choco,2022-07-27,99,3395.0,INR,0.3442,1168.559
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,433,14938.0,GBP,42.0265,627791.857
Roddy Speechley,India,Orange Choco,2022-06-27,19,4053.0,INR,0.3442,1395.0426
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,258,5565.0,GBP,42.0265,233877.4725
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,92,7161.0,AUD,21.2763,152359.5843
Madelene Upcott,USA,Eclairs,2022-03-18,200,8883.0,USD,31.1547,276747.20009999996
Brien Boise,India,Eclairs,2022-04-29,61,1351.0,INR,0.3442,465.0142
Mallorie Waber,New Zealand,White Choc,2022-02-25,246,3171.0,AUD,21.2763,67467.1473
Husein Augar,USA,Milk Bars,2022-03-02,56,854.0,USD,31.1547,26606.1138
Van Tuxwell,Australia,Milk Bars,2022-06-20,87,7910.0,AUD,21.2763,168295.533
Beverie Moffet,Canada,White Choc,2022-07-15,173,9275.0,CAD,22.5593,209237.5075
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,252,3108.0,AUD,21.2763,66126.7404
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,256,5075.0,AUD,21.2763,107977.22249999999
Husein Augar,USA,85% Dark Bars,2022-08-08,54,378.0,USD,31.1547,11776.4766
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,6,7350.0,AUD,21.2763,156380.805
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,55,3388.0,GBP,42.0265,142385.782
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,277,11837.0,INR,0.3442,4074.2954
Curtice Advani,India,70% Dark Bites,2022-07-05,44,2282.0,INR,0.3442,785.4644000000001
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,96,5425.0,USD,31.1547,169014.2475
Dotty Strutley,UK,70% Dark Bites,2022-06-20,216,1267.0,GBP,42.0265,53247.5755
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,424,3752.0,AUD,21.2763,79828.6776
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,37,7728.0,AUD,21.2763,164423.2464
Gigi Bohling,USA,50% Dark Bites,2022-04-13,59,2296.0,USD,31.1547,71531.1912
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,76,4403.0,GBP,42.0265,185042.6795
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,109,3192.0,AUD,21.2763,67913.94959999999
Beverie Moffet,India,70% Dark Bites,2022-06-01,146,448.0,INR,0.3442,154.2016
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,185,4270.0,GBP,42.0265,179453.155
Kaine Padly,USA,50% Dark Bites,2022-08-03,27,70.0,USD,31.1547,2180.8289999999997
Ches Bonnell,USA,Orange Choco,2022-06-10,69,1743.0,USD,31.1547,54302.6421
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,46,6762.0,GBP,42.0265,284183.19299999997
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,170,3745.0,AUD,21.2763,79679.7435
Marney O'Breen,India,After Nines,2022-07-11,179,2639.0,INR,0.3442,908.3438
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,126,4389.0,AUD,21.2763,93381.6807
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,65,2604.0,USD,31.1547,81126.8388
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,99,16569.0,INR,0.3442,5703.0498
Mallorie Waber,Australia,Orange Choco,2022-03-07,275,14658.0,AUD,21.2763,311868.00539999997
Husein Augar,India,70% Dark Bites,2022-05-09,157,6454.0,INR,0.3442,2221.4668
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,157,2100.0,AUD,21.2763,44680.229999999996
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,145,161.0,GBP,42.0265,6766.2665
Gigi Bohling,Australia,Drinking Coco,2022-07-27,139,2807.0,AUD,21.2763,59722.5741
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,406,2639.0,CAD,22.5593,59533.9927
Ches Bonnell,USA,70% Dark Bites,2022-05-11,122,4571.0,USD,31.1547,142408.1337
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,38,4781.0,INR,0.3442,1645.6202
Barr Faughny,USA,50% Dark Bites,2022-04-14,117,13034.0,USD,31.1547,406070.3598
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,417,6454.0,AUD,21.2763,137317.2402
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,57,8484.0,AUD,21.2763,180508.1292
Brien Boise,Canada,Almond Choco,2022-04-13,125,4781.0,CAD,22.5593,107856.0133
Beverie Moffet,Australia,White Choc,2022-06-27,166,2240.0,AUD,21.2763,47658.912
Dotty Strutley,Australia,Eclairs,2022-01-26,3,6979.0,AUD,21.2763,148487.2977
Barr Faughny,UK,White Choc,2022-07-05,72,1652.0,GBP,42.0265,69427.77799999999
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,95,13447.0,CAD,22.5593,303354.9071
Kelci Walkden,USA,White Choc,2022-03-07,22,9422.0,USD,31.1547,293539.5834
